education,experience,ethnicity,smsa,region,parttime,wage
12,19.0,cauc,yes,west,no,less than 308.64
12,18.0,cauc,yes,northeast,no,greater than 783.48
17,17.0,cauc,no,west,no,greater than 783.48
12,1.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,14.0,cauc,yes,south,no,greater than 783.48
10,17.0,cauc,yes,west,no,between 308.64 and 522.32
12,13.0,cauc,yes,south,no,between 308.64 and 522.32
18,8.0,cauc,no,midwest,no,between 308.64 and 522.32
18,10.0,cauc,no,west,no,between 522.32 and 783.48
16,15.0,cauc,yes,south,no,greater than 783.48
12,27.0,cauc,yes,south,no,greater than 783.48
14,6.0,cauc,no,south,no,between 522.32 and 783.48
15,10.0,cauc,yes,west,no,between 308.64 and 522.32
12,16.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,17.0,cauc,yes,south,yes,between 308.64 and 522.32
14,11.0,cauc,yes,south,no,between 522.32 and 783.48
15,21.0,cauc,no,west,no,between 522.32 and 783.48
16,32.0,cauc,no,midwest,no,greater than 783.48
14,18.0,cauc,no,west,no,between 522.32 and 783.48
10,44.0,cauc,yes,west,yes,less than 308.64
13,0.0,cauc,yes,west,yes,less than 308.64
12,18.0,cauc,no,northeast,no,between 522.32 and 783.48
12,5.0,cauc,yes,northeast,no,less than 308.64
16,3.0,cauc,yes,midwest,no,between 308.64 and 522.32
3,19.0,cauc,yes,west,no,less than 308.64
16,6.0,cauc,no,west,no,between 308.64 and 522.32
12,20.0,cauc,yes,south,no,between 308.64 and 522.32
12,15.0,cauc,yes,west,yes,between 308.64 and 522.32
12,38.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,23.0,cauc,yes,northeast,no,between 522.32 and 783.48
12,10.0,cauc,yes,northeast,no,between 308.64 and 522.32
15,6.0,cauc,yes,west,no,between 308.64 and 522.32
