fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Professional_Self-Employed,Professional_Self-Employed,intact,white,22.9,greater than 14.6
Clerk,Salesman-Nonretail,nonintact,black,0.0,less than 0.6
Professional_Self-Employed,Professional-Salaried,nonintact,black,0.4,less than 0.6
Clerk,Farmer/Farm_Manager,nonintact,white,0.8,between 0.6 and 3.3
Service_Worker,Professional-Salaried,nonintact,black,6.3,between 3.3 and 14.6
Craftsman-Construction,Farm_Laborer,intact,black,1.4,less than 0.6
Proprietor,Laborer-Nonmanufacturing,intact,black,0.4,between 0.6 and 3.3
Salesman-Nonretail,Operative-Nonmanufacturing,intact,white,26.7,greater than 14.6
Professional_Self-Employed,Clerk,intact,white,22.4,between 3.3 and 14.6
Salesman-Retail,Proprietor,intact,white,2.3,greater than 14.6
Service_Worker,Salesman-Retail,intact,white,28.2,greater than 14.6
Professional_Self-Employed,Clerk,nonintact,white,2.1,between 0.6 and 3.3
Clerk,Operative-Nonmanufacturing,intact,black,2.9,between 0.6 and 3.3
Professional-Salaried,Service_Worker,intact,white,24.8,greater than 14.6
Operative-Manufacturing,Proprietor,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Service_Worker,nonintact,black,1.0,between 0.6 and 3.3
Operative-Nonmanufacturing,Operative-Nonmanufacturing,intact,black,20.4,greater than 14.6
Manager,Professional-Salaried,nonintact,white,14.0,greater than 14.6
Service_Worker,Craftsman-Construction,nonintact,white,13.1,greater than 14.6
Clerk,Laborer-Manufacturing,nonintact,black,0.5,between 0.6 and 3.3
Manager,Craftsman-Manufacturing,intact,black,0.0,between 0.6 and 3.3
Salesman-Nonretail,Salesman-Nonretail,intact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0.8,between 3.3 and 14.6
Craftsman-Manufacturing,Craftsman-Manufacturing,nonintact,white,7.0,between 3.3 and 14.6
Farmer/Farm_Manager,Craftsmen-Other,intact,white,118.1,greater than 14.6
Service_Worker,Service_Worker,nonintact,white,21.5,greater than 14.6
Professional-Salaried,Craftsman-Construction,nonintact,white,1.5,between 3.3 and 14.6
Operative-Nonmanufacturing,Manager,nonintact,white,6.0,greater than 14.6
Laborer-Nonmanufacturing,Operative-Nonmanufacturing,intact,white,71.4,greater than 14.6
Farm_Laborer,Salesman-Retail,intact,white,16.5,between 3.3 and 14.6
Craftsman-Construction,Craftsman-Manufacturing,intact,white,45.7,greater than 14.6
Craftsman-Construction,Craftsman-Construction,intact,white,154.3,greater than 14.6
